writer,has_affix,write
writer,has_affix,writ
king,has_prefix_with_root,kin
midnight,has_prefix,mid
midnight,has_prefix_with_root,night
router,has_affix,route
router,has_affix,rout
keyboard,compound_of,key
keyboard,compound_of,board
weekday,compound_of,week
weekday,compound_of,day
hourglass,compound_of,hour
hourglass,compound_of,glass
weekend,compound_of,week
weekend,compound_of,end
morph,back-formation_from,morpheme
morph,clipping_of,metamorphose
morph,clipping_of,morphine
imperfect,has_prefix_with_root,perfect
turkish,has_prefix_with_root,turk
swedish,has_affix,swede
person,doublet_with,parson
person,doublet_with,persona
thirteen,has_prefix_with_root,three
thirteen,has_suffix,teen
fourteen,has_prefix_with_root,four
fourteen,has_suffix,teen
eleventh,has_affix,eleven
polygonal,has_prefix_with_root,polygon
qubit,blend_of,quantum
qubit,blend_of,bit
twelfth,has_affix,twelve
hemisphere,has_prefix_with_root,sphere
seventeen,has_prefix_with_root,seven
seventeen,has_suffix,teen
fifteen,has_prefix_with_root,five
fifteen,has_suffix,teen
of,doublet_with,off
sixteen,has_prefix_with_root,six
sixteen,has_suffix,teen
nineteen,has_prefix_with_root,nine
nineteen,has_suffix,teen
thirty,has_prefix_with_root,three
sixty,has_affix,six
eighty,has_affix,eight
seventy,has_affix,seven
ninety,has_affix,nine
pi,doublet_with,pe
tetrahedron,has_confix,tetra
eighteen,has_prefix_with_root,eight
eighteen,has_suffix,teen
design,doublet_with,designate
blowjob,compound_of,job
existence,has_prefix_with_root,exist
polyglot,has_confix,poly
skew,doublet_with,eschew
tick,clipping_of,ticket
its,compound_of,it
its,has_affix,it
its,compound_of,it
too,doublet_with,to
handsomeness,has_prefix_with_root,handsome
handsomeness,has_suffix,ness
regime,doublet_with,regimen
handsome,has_prefix_with_root,hand
handsome,has_suffix,some
transcultural,has_prefix,trans
transcultural,has_prefix_with_root,cultural
xylophone,has_confix,phone
xray,compound_of,ray
wiki,cognate_of,web
feat,doublet_with,fact
feat,clipping_of,feature
mind,doublet_with,mantra
example,doublet_with,exemplum
example,doublet_with,sample
to,doublet_with,too
copula,doublet_with,couple
action,has_prefix_with_root,act
action,has_suffix,ion
vowel,doublet_with,vocal
irregular,has_affix,regular
neuter,cognate_of,whether
ending,has_affix,end
ending,has_affix,end
tense,doublet_with,tempo
case,doublet_with,cash
aussie,has_suffix,ie
declension,doublet_with,declination
yeasty,has_prefix_with_root,yeast
stem,blend_of,stud
stem,blend_of,femme
gringo,doublet_with,greek
hander,has_prefix_with_root,hand
hander,has_prefix_with_root,hand
englishman,has_prefix_with_root,english
englishman,has_suffix,man
adjustment,has_prefix_with_root,adjust
advertisement,has_prefix_with_root,advertise
quadrupedal,has_prefix_with_root,quadruped
mill,cognate_of,millstone
mill,back-formation_from,millstone
quaker,has_prefix_with_root,quake
species,doublet_with,spice
quail,doublet_with,coagulate
island,has_affix,ey
island,has_affix,land
amusement,has_prefix_with_root,amuse
almost,has_prefix_with_root,most
approval,has_prefix_with_root,approve
any,has_affix,one
answer,has_prefix,and
answer,has_prefix_with_root,swear
argument,has_prefix_with_root,argue
argument,doublet_with,argumentum
art,cognate_of,craft
art,cognate_of,list
ordinate,doublet_with,ordain
northwest,compound_of,north
northwest,compound_of,west
northeast,compound_of,north
northeast,compound_of,east
boom,doublet_with,beam
southwest,compound_of,south
southwest,compound_of,west
southeast,compound_of,south
southeast,compound_of,east
beeswax,has_affix,bee
beeswax,has_affix,wax
as,doublet_with,ace
as,has_prefix_with_root,a
father,doublet_with,pater
sibling,has_prefix_with_root,sib
mother,doublet_with,mater
mother,clipping_of,motherfucker
left,cognate_of,lib
left,has_affix,leave
grandparent,has_prefix,grand
grandparent,has_prefix_with_root,parent
grandchild,has_prefix,grand
grandchild,has_prefix_with_root,child
grandmother,has_affix,grand
grandmother,has_affix,mother
grandson,has_prefix,grand
